gene	description	total	composite.snps.afchange.top.genes.100000bp	composite.snps.timeseries.top.genes.100000bp
ENSSHAG00000002328	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VHH9]	0	1
ENSSHAG00000011157	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WC89]	0	1
ENSSHAG00000017619	1	WD repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:21421]	1	0
ENSSHAG00000013334	1	lactamase, beta 2 [Source:HGNC Symbol;Acc:HGNC:18512]	1	0
ENSSHAG00000018043	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X0T2]	1	0
ENSSHAG00000010178	1	FK506 binding protein 7 [Source:HGNC Symbol;Acc:HGNC:3723]	0	1
ENSSHAG00000018048	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X0T7]	1	0
ENSSHAG00000016268	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WUQ4]	1	0
ENSSHAG00000001535	1	microfibrillar-associated protein 3 [Source:HGNC Symbol;Acc:HGNC:7034]	1	0
ENSSHAG00000005150	1		0	1
ENSSHAG00000005158	1	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	1	0
ENSSHAG00000010775	1	vacuolar protein sorting 33 homolog B (yeast) [Source:HGNC Symbol;Acc:HGNC:12712]	1	0
ENSSHAG00000016062	1	villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]	1	0
ENSSHAG00000001198	1	kinesin family member C1 [Source:HGNC Symbol;Acc:HGNC:6389]	0	1
ENSSHAG00000016085	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WU44]	1	0
ENSSHAG00000013695	1	estrogen-related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]	0	1
ENSSHAG00000000692	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VC71]	0	1
ENSSHAG00000001690	1	tumor necrosis factor, alpha-induced protein 8-like 1 [Source:HGNC Symbol;Acc:HGNC:28279]	1	0
ENSSHAG00000011785	1	zinc finger protein 710 [Source:HGNC Symbol;Acc:HGNC:25352]	1	0
ENSSHAG00000001695	1	family with sequence similarity 13, member A [Source:HGNC Symbol;Acc:HGNC:19367]	0	1
ENSSHAG00000016968	1	WW domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12737]	0	1
ENSSHAG00000017464	1	ALG6, alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23157]	0	1
ENSSHAG00000001269	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VE20]	1	0
ENSSHAG00000006736	1	free fatty acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:4498]	0	1
ENSSHAG00000016316	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WUV9]	1	0
ENSSHAG00000003330	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VKS7]	0	1
ENSSHAG00000002227	1	cutA divalent cation tolerance homolog (E. coli) [Source:HGNC Symbol;Acc:HGNC:21101]	0	1
ENSSHAG00000014465	1	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	1	0
ENSSHAG00000018824	1	protein kinase N3 [Source:HGNC Symbol;Acc:HGNC:17999]	0	1
ENSSHAG00000009452	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W6B2]	1	0
ENSSHAG00000018828	1	zinc finger, DHHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:19159]	0	1
ENSSHAG00000010428	1	coiled-coil domain containing 94 [Source:HGNC Symbol;Acc:HGNC:25518]	1	0
ENSSHAG00000002948	1	fucose-1-phosphate guanylyltransferase [Source:HGNC Symbol;Acc:HGNC:3825]	1	0
ENSSHAG00000002946	1	olfactory receptor, family 56, subfamily B, member 4 [Source:HGNC Symbol;Acc:HGNC:15248]	1	0
ENSSHAG00000003415	1	ribosomal protein S6 kinase, 90kDa, polypeptide 4 [Source:HGNC Symbol;Acc:HGNC:10433]	1	0
ENSSHAG00000003791	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VMA0]	0	1
ENSSHAG00000008994	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W4R3]	1	0
ENSSHAG00000004729	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VQF7]	0	1
ENSSHAG00000006302	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VVP7]	0	1
ENSSHAG00000000614	1	signal recognition particle 72kDa [Source:HGNC Symbol;Acc:HGNC:11303]	0	1
ENSSHAG00000007088	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VYC5]	0	1
ENSSHAG00000010946	1	DnaJ (Hsp40) homolog, subfamily C, member 18 [Source:HGNC Symbol;Acc:HGNC:28429]	1	0
ENSSHAG00000017263	1	regulator of G-protein signaling 3 [Source:HGNC Symbol;Acc:HGNC:9999]	1	0
ENSSHAG00000010942	2	GLTSCR1-like [Source:HGNC Symbol;Acc:HGNC:21111]	1	1
ENSSHAG00000002488	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VI06]	0	1
ENSSHAG00000015138	1	transmembrane protein 132C [Source:HGNC Symbol;Acc:HGNC:25436]	1	0
ENSSHAG00000007303	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VZ21]	1	0
ENSSHAG00000008809	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W441]	1	1
ENSSHAG00000014842	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WPW3]	0	1
ENSSHAG00000018524	1	family with sequence similarity 102, member A [Source:HGNC Symbol;Acc:HGNC:31419]	1	0
ENSSHAG00000010286	1	threonyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:HGNC:30740]	0	1
ENSSHAG00000010284	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W986]	1	0
ENSSHAG00000018520	1	contactin 4 [Source:HGNC Symbol;Acc:HGNC:2174]	0	1
ENSSHAG00000018485	1	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:17846]	1	0
ENSSHAG00000008807	2	leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914]	1	1
ENSSHAG00000011607	1	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]	0	1
ENSSHAG00000016221	1	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	1	0
ENSSHAG00000016146	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WUB7]	1	0
ENSSHAG00000009123	1	interleukin 17B [Source:HGNC Symbol;Acc:HGNC:5982]	0	1
ENSSHAG00000001968	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VGA8]	0	1
ENSSHAG00000000143	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VAG7]	1	0
ENSSHAG00000005882	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VUB2]	0	1
ENSSHAG00000013522	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WKB5]	0	1
ENSSHAG00000005544	1		0	1
ENSSHAG00000016528	1	cadherin 17, LI cadherin (liver-intestine) [Source:HGNC Symbol;Acc:HGNC:1756]	1	0
ENSSHAG00000005062	2	BMS1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:23505]	1	1
ENSSHAG00000001794	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VFR3]	0	1
ENSSHAG00000012140	2	kinesin light chain 4 [Source:HGNC Symbol;Acc:HGNC:21624]	1	1
ENSSHAG00000011742	1	misato 1, mitochondrial distribution and morphology regulator [Source:HGNC Symbol;Acc:HGNC:29678]	1	0
ENSSHAG00000010345	1	guanine monphosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	0	1
ENSSHAG00000013639	1	CCR4-NOT transcription complex, subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	0	1
ENSSHAG00000002507	1	synaptic Ras GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:11497]	0	1
ENSSHAG00000017411	1	Wolf-Hirschhorn syndrome candidate 1-like 1 [Source:HGNC Symbol;Acc:HGNC:12767]	0	1
ENSSHAG00000014427	1	germ cell-less, spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:23843]	0	1
ENSSHAG00000004518	1	polycystic kidney disease 2 (autosomal dominant) [Source:HGNC Symbol;Acc:HGNC:9009]	0	1
ENSSHAG00000010548	1	SEC23 interacting protein [Source:HGNC Symbol;Acc:HGNC:17018]	1	0
ENSSHAG00000006933	1	free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]	0	1
ENSSHAG00000016911	1	tetratricopeptide repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:25759]	0	1
ENSSHAG00000003101	1	YTH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24721]	1	0
ENSSHAG00000003565	1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1	0
ENSSHAG00000004768	1	olfactory receptor, family 4, subfamily P, member 4 [Source:HGNC Symbol;Acc:HGNC:15180]	0	1
ENSSHAG00000010216	1	ankyrin repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:29424]	1	0
ENSSHAG00000002917	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VJG4]	0	1
ENSSHAG00000006515	1	ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12618]	0	1
ENSSHAG00000004787	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VQM4]	0	1
ENSSHAG00000005960	1	leucine-rich repeat LGI family, member 4 [Source:HGNC Symbol;Acc:HGNC:18712]	0	1
ENSSHAG00000012618	1	myosin, light chain 2, regulatory, cardiac, slow [Source:HGNC Symbol;Acc:HGNC:7583]	1	0
ENSSHAG00000006943	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VXU9]	1	0
ENSSHAG00000017603	1	C1q and tumor necrosis factor related protein 4 [Source:HGNC Symbol;Acc:HGNC:14346]	0	1
ENSSHAG00000016770	1	docking protein 1, 62kDa (downstream of tyrosine kinase 1) [Source:HGNC Symbol;Acc:HGNC:2990]	0	1
ENSSHAG00000005893	1	ubinuclein 1 [Source:HGNC Symbol;Acc:HGNC:12506]	1	0
ENSSHAG00000007336	1	keratinocyte differentiation-associated protein [Source:HGNC Symbol;Acc:HGNC:16313]	0	1
ENSSHAG00000000108	1		1	0
ENSSHAG00000017672	1	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	1	0
ENSSHAG00000013294	1	proline rich 5 like [Source:HGNC Symbol;Acc:HGNC:25878]	1	0
ENSSHAG00000000589	1	NLR family, pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	0	1
ENSSHAG00000008636	1	DENN/MADD domain containing 2C [Source:HGNC Symbol;Acc:HGNC:24748]	0	1
ENSSHAG00000010768	1	minichromosome maintenance complex binding protein [Source:HGNC Symbol;Acc:HGNC:25782]	1	0
ENSSHAG00000005785	1	ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]	1	0
ENSSHAG00000013890	1	TNF receptor-associated factor 6, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:12036]	1	0
ENSSHAG00000017979	1	mitochondrial ribosomal protein L45 [Source:HGNC Symbol;Acc:HGNC:16651]	1	0
ENSSHAG00000011558	2	canopy FGF signaling regulator 3 [Source:HGNC Symbol;Acc:HGNC:11968]	1	1
ENSSHAG00000012089	1	transmembrane protein 259 [Source:HGNC Symbol;Acc:HGNC:17039]	1	0
ENSSHAG00000013073	1	COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014]	1	0
ENSSHAG00000002427	1	ATP-binding cassette, sub-family G (WHITE), member 2 [Source:HGNC Symbol;Acc:HGNC:74]	0	1
ENSSHAG00000008021	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W1G1]	1	0
ENSSHAG00000002138	1	coiled-coil domain containing 88B [Source:HGNC Symbol;Acc:HGNC:26757]	1	0
ENSSHAG00000010783	1	solute carrier family 33 (acetyl-CoA transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:95]	0	1
ENSSHAG00000008249	1	stromal interaction molecule 2 [Source:HGNC Symbol;Acc:HGNC:19205]	0	1
ENSSHAG00000005328	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VSG8]	0	1
ENSSHAG00000017552	1	aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]	1	0
ENSSHAG00000003392	1	rhomboid domain containing 3 [Source:HGNC Symbol;Acc:HGNC:1308]	0	1
ENSSHAG00000016957	1	mitochondrial ribosomal protein L53 [Source:HGNC Symbol;Acc:HGNC:16684]	0	1
ENSSHAG00000016959	1	mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862]	0	1
ENSSHAG00000016897	1	ladybird homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15525]	0	1
ENSSHAG00000002257	1	solute carrier family 2 (facilitated glucose/fructose transporter), member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	0	1
ENSSHAG00000009949	1	protein kinase, interferon-inducible double stranded RNA dependent activator [Source:HGNC Symbol;Acc:HGNC:9438]	0	1
ENSSHAG00000010078	1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	0	1
ENSSHAG00000018837	1	interleukin 5 receptor, alpha [Source:HGNC Symbol;Acc:HGNC:6017]	0	1
ENSSHAG00000018831	1	zyg-11 related, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:30960]	0	1
ENSSHAG00000011291	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WCQ1]	1	0
