gene	description	total	composite.snps.afchange.top.genes.200000bp	composite.snps.timeseries.top.genes.200000bp
ENSSHAG00000016552	1	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]	1	0
ENSSHAG00000013073	1	COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014]	1	0
ENSSHAG00000016002	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WTU8]	0	1
ENSSHAG00000008742	1	chromosome 12 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26665]	0	1
ENSSHAG00000016398	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WV53]	1	0
ENSSHAG00000012070	1	DnaJ (Hsp40) homolog, subfamily B, member 9 [Source:HGNC Symbol;Acc:HGNC:6968]	1	0
ENSSHAG00000012075	1	pleckstrin homology domain containing, family G (with RhoGef domain) member 4 [Source:HGNC Symbol;Acc:HGNC:24501]	1	0
ENSSHAG00000012074	1	ovochymase 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:29970]	0	1
ENSSHAG00000016392	2	heterogeneous nuclear ribonucleoprotein L-like [Source:HGNC Symbol;Acc:HGNC:25127]	1	1
ENSSHAG00000010322	1	zinc finger, FYVE domain containing 28 [Source:HGNC Symbol;Acc:HGNC:29334]	0	1
ENSSHAG00000005329	2	nudix (nucleoside diphosphate linked moiety X)-type motif 8 [Source:HGNC Symbol;Acc:HGNC:8055]	1	1
ENSSHAG00000005328	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VSG8]	1	1
ENSSHAG00000005324	1	WAS/WASL interacting protein family, member 3 [Source:HGNC Symbol;Acc:HGNC:22004]	0	1
ENSSHAG00000008242	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W271]	0	1
ENSSHAG00000013701	1	doublecortin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20625]	1	0
ENSSHAG00000013707	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WKZ4]	0	1
ENSSHAG00000010503	2	N-methylpurine-DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]	1	1
ENSSHAG00000016957	1	mitochondrial ribosomal protein L53 [Source:HGNC Symbol;Acc:HGNC:16684]	0	1
ENSSHAG00000016958	2	LSM11, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:30860]	1	1
ENSSHAG00000016959	1	mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862]	0	1
ENSSHAG00000012650	1	transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]	0	1
ENSSHAG00000015450	1	acyl-CoA dehydrogenase family, member 11 [Source:HGNC Symbol;Acc:HGNC:30211]	1	0
ENSSHAG00000001872	1	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	1	0
ENSSHAG00000012254	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WFY8]	0	1
ENSSHAG00000012252	1	AT rich interactive domain 5B (MRF1-like) [Source:HGNC Symbol;Acc:HGNC:17362]	1	0
ENSSHAG00000012251	2	coiled-coil domain containing 70 [Source:HGNC Symbol;Acc:HGNC:25303]	1	1
ENSSHAG00000011296	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WCQ6]	1	0
ENSSHAG00000011297	1	ATP-binding cassette, sub-family A (ABC1), member 7 [Source:HGNC Symbol;Acc:HGNC:37]	1	0
ENSSHAG00000011293	1	E2F transcription factor 4, p107/p130-binding [Source:HGNC Symbol;Acc:HGNC:3118]	1	0
ENSSHAG00000009342	1	interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]	1	0
ENSSHAG00000008333	1	follistatin-like 3 (secreted glycoprotein) [Source:HGNC Symbol;Acc:HGNC:3973]	1	0
ENSSHAG00000016825	1	ancient ubiquitous protein 1 [Source:HGNC Symbol;Acc:HGNC:891]	0	1
ENSSHAG00000016826	1	sec1 family domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30676]	1	0
ENSSHAG00000008337	2	intercellular adhesion molecule 5, telencephalin [Source:HGNC Symbol;Acc:HGNC:5348]	1	1
ENSSHAG00000005215	1	discs, large homolog 5 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:2904]	0	1
ENSSHAG00000011127	1	calcium and integrin binding 1 (calmyrin) [Source:HGNC Symbol;Acc:HGNC:16920]	1	0
ENSSHAG00000008339	2	tet methylcytosine dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:29484]	1	1
ENSSHAG00000010432	1	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	1	0
ENSSHAG00000009207	1	mitochondrial calcium uptake 1 [Source:HGNC Symbol;Acc:HGNC:1530]	0	1
ENSSHAG00000018505	2	phosphatidylinositol-4-phosphate 5-kinase-like 1 [Source:HGNC Symbol;Acc:HGNC:28711]	1	1
ENSSHAG00000005955	1	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	0	1
ENSSHAG00000018640	2	chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:17823]	1	1
ENSSHAG00000018647	1	LIM domain only 2 (rhombotin-like 1) [Source:HGNC Symbol;Acc:HGNC:6642]	0	1
ENSSHAG00000018644	1	polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like [Source:HGNC Symbol;Acc:HGNC:28466]	1	0
ENSSHAG00000018645	2	CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:16744]	1	1
ENSSHAG00000018882	1	leucine rich repeat containing 8 family, member A [Source:HGNC Symbol;Acc:HGNC:19027]	0	1
ENSSHAG00000007667	1	GrpE-like 1, mitochondrial (E. coli) [Source:HGNC Symbol;Acc:HGNC:19696]	0	1
ENSSHAG00000018887	1	naked cuticle homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:17045]	1	0
ENSSHAG00000018889	1	phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396]	0	1
ENSSHAG00000012497	1	chromosome 8 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:44672]	0	1
ENSSHAG00000015633	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WSL2]	0	1
ENSSHAG00000004025	1		0	1
ENSSHAG00000007989	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W1C4]	1	0
ENSSHAG00000007981	2	wingless-type MMTV integration site family, member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	1	1
ENSSHAG00000013857	1	glutamate receptor, ionotropic, AMPA 4 [Source:HGNC Symbol;Acc:HGNC:4574]	0	1
ENSSHAG00000007987	1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	1	0
ENSSHAG00000007986	2	ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific) [Source:HGNC Symbol;Acc:HGNC:29361]	1	1
ENSSHAG00000004850	1	protein tyrosine phosphatase type IVA, member 2 [Source:HGNC Symbol;Acc:HGNC:9635]	1	0
ENSSHAG00000006943	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VXU9]	1	0
ENSSHAG00000018465	1	dedicator of cytokinesis 10 [Source:HGNC Symbol;Acc:HGNC:23479]	0	1
ENSSHAG00000018392	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X215]	0	1
ENSSHAG00000005927	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VUG8]	0	1
ENSSHAG00000005921	2	fat storage-inducing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16135]	1	1
ENSSHAG00000005923	1	NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826]	1	0
ENSSHAG00000005690	2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 [Source:HGNC Symbol;Acc:HGNC:17906]	1	1
ENSSHAG00000004984	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VRA0]	1	1
ENSSHAG00000004980	2	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	1	1
ENSSHAG00000004981	1	succinate-CoA ligase, alpha subunit [Source:HGNC Symbol;Acc:HGNC:11449]	0	1
ENSSHAG00000005454	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VSW0]	1	1
ENSSHAG00000005104	1	KIAA0355 [Source:HGNC Symbol;Acc:HGNC:29016]	1	0
ENSSHAG00000005451	1	zinc finger protein 414 [Source:HGNC Symbol;Acc:HGNC:20630]	1	0
ENSSHAG00000011631	1	isocitrate dehydrogenase 2 (NADP+), mitochondrial [Source:HGNC Symbol;Acc:HGNC:5383]	1	0
ENSSHAG00000011632	1	ATP-binding cassette, sub-family A (ABC1), member 12 [Source:HGNC Symbol;Acc:HGNC:14637]	1	0
ENSSHAG00000009117	1	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	0	1
ENSSHAG00000010720	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WAR8]	1	0
ENSSHAG00000009112	1	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	1	0
ENSSHAG00000018060	2	hair growth associated [Source:HGNC Symbol;Acc:HGNC:5172]	1	1
ENSSHAG00000011755	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WE91]	0	1
ENSSHAG00000003854	1	contactin associated protein-like 5 [Source:HGNC Symbol;Acc:HGNC:18748]	0	1
ENSSHAG00000003851	1	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	1	0
ENSSHAG00000018264	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X1K6]	0	1
ENSSHAG00000005079	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VRL5]	0	1
ENSSHAG00000015741	1		0	1
ENSSHAG00000005072	2	enkurin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25246]	1	1
ENSSHAG00000010651	2	potassium channel, subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:18861]	1	1
ENSSHAG00000002077	2	hydroxysteroid (17-beta) dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	1	1
ENSSHAG00000010653	1	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144]	0	1
ENSSHAG00000006009	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VUR2]	0	1
ENSSHAG00000013843	1	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	1	0
ENSSHAG00000008870	1	pyrophosphatase (inorganic) 1 [Source:HGNC Symbol;Acc:HGNC:9226]	1	0
ENSSHAG00000002453	1	chromosome 20 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:16227]	1	0
ENSSHAG00000003984	1	glycosyltransferase 8 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24890]	0	1
ENSSHAG00000003981	1	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	1	0
ENSSHAG00000002459	1	ubiquitin-like modifier activating enzyme 2 [Source:HGNC Symbol;Acc:HGNC:30661]	1	0
ENSSHAG00000006173	2	protein tyrosine phosphatase, non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	1	1
ENSSHAG00000016024	1	ubiquitin specific peptidase 4 (proto-oncogene) [Source:HGNC Symbol;Acc:HGNC:12627]	0	1
ENSSHAG00000011917	1	digestive organ expansion factor homolog (zebrafish) [Source:HGNC Symbol;Acc:HGNC:28440]	0	1
ENSSHAG00000006174	1	leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260]	1	0
ENSSHAG00000014438	1	GTP binding protein 3 (mitochondrial) [Source:HGNC Symbol;Acc:HGNC:14880]	1	0
ENSSHAG00000017566	1	parathyroid hormone [Source:HGNC Symbol;Acc:HGNC:9606]	0	1
ENSSHAG00000017564	2	splicing factor 3b, subunit 1, 155kDa [Source:HGNC Symbol;Acc:HGNC:10768]	1	1
ENSSHAG00000017563	1	dipeptidyl-peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	1	0
ENSSHAG00000008402	2	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group) [Source:HGNC Symbol;Acc:HGNC:5347]	1	1
ENSSHAG00000006752	1	debranching RNA lariats 1 [Source:HGNC Symbol;Acc:HGNC:15594]	0	1
ENSSHAG00000006751	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VX72]	0	1
ENSSHAG00000001377	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VEE2]	1	1
ENSSHAG00000008409	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W2R0]	1	1
ENSSHAG00000014098	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WMB9]	1	0
ENSSHAG00000018217	1	zinc finger protein 521 [Source:HGNC Symbol;Acc:HGNC:24605]	1	0
ENSSHAG00000014721	1	sialic acid acetylesterase [Source:HGNC Symbol;Acc:HGNC:18187]	1	0
ENSSHAG00000003516	1	EMI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18036]	0	1
ENSSHAG00000007757	1	transcription factor 15 (basic helix-loop-helix) [Source:HGNC Symbol;Acc:HGNC:11627]	1	0
ENSSHAG00000006356	2	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]	1	1
ENSSHAG00000010083	1	deafness, autosomal recessive 59 [Source:HGNC Symbol;Acc:HGNC:29502]	0	1
ENSSHAG00000003182	1	mitochondrial coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:20668]	1	0
ENSSHAG00000012814	2	phosphoenolpyruvate carboxykinase 1 (soluble) [Source:HGNC Symbol;Acc:HGNC:8724]	1	1
ENSSHAG00000008539	2	mitochondrial ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:14276]	1	1
ENSSHAG00000016766	1	solute carrier family 26 (anion exchanger), member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	1	0
ENSSHAG00000016765	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WWE1]	1	0
ENSSHAG00000003434	1	SPOC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26338]	1	0
ENSSHAG00000008533	1	synaptotagmin-like 3 [Source:HGNC Symbol;Acc:HGNC:15587]	1	0
ENSSHAG00000016768	1	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	1	0
ENSSHAG00000008535	1	toll-like receptor adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]	0	1
ENSSHAG00000009863	1	cysteine and histidine-rich domain (CHORD) containing 1 [Source:HGNC Symbol;Acc:HGNC:14525]	0	1
ENSSHAG00000014944	1	RAD23 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:9812]	1	0
ENSSHAG00000018431	2	protein phosphatase 3, catalytic subunit, gamma isozyme [Source:HGNC Symbol;Acc:HGNC:9316]	1	1
ENSSHAG00000017168	1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	1	0
ENSSHAG00000000984	1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	0	1
ENSSHAG00000014548	1	anoctamin 8 [Source:HGNC Symbol;Acc:HGNC:29329]	1	0
ENSSHAG00000000986	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VD46]	1	0
ENSSHAG00000014545	1	protease, serine, 12 (neurotrypsin, motopsin) [Source:HGNC Symbol;Acc:HGNC:9477]	1	0
ENSSHAG00000017164	1	ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]	1	0
ENSSHAG00000017165	1	adenylate cyclase 8 (brain) [Source:HGNC Symbol;Acc:HGNC:239]	1	0
ENSSHAG00000014893	1	DAN domain family member 5, BMP antagonist [Source:HGNC Symbol;Acc:HGNC:26780]	1	0
ENSSHAG00000010880	1	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	0	1
ENSSHAG00000016438	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WV98]	0	1
ENSSHAG00000017364	1	DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]	0	1
ENSSHAG00000009758	2	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	1	1
ENSSHAG00000017382	1	SLIT and NTRK-like family, member 3 [Source:HGNC Symbol;Acc:HGNC:23501]	1	0
ENSSHAG00000017380	1	RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]	0	1
ENSSHAG00000017386	2	integrin beta 3 binding protein (beta3-endonexin) [Source:HGNC Symbol;Acc:HGNC:6157]	1	1
ENSSHAG00000017387	1	tripartite motif containing 71, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:32669]	0	1
ENSSHAG00000017384	1	COX20 cytochrome C oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:26970]	1	0
ENSSHAG00000007244	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VYV6]	1	0
ENSSHAG00000000563	2	chromosome 19 open reading frame 10 [Source:HGNC Symbol;Acc:HGNC:16948]	1	1
ENSSHAG00000007405	1	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	0	1
ENSSHAG00000013281	1	neutrophil cytosolic factor 4, 40kDa [Source:HGNC Symbol;Acc:HGNC:7662]	0	1
ENSSHAG00000000182	1	interleukin 22 receptor, alpha 2 [Source:HGNC Symbol;Acc:HGNC:14901]	0	1
ENSSHAG00000017703	1	uridine-cytidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:14859]	0	1
ENSSHAG00000017700	1	chromosome 1 open reading frame 194 [Source:HGNC Symbol;Acc:HGNC:32331]	1	0
ENSSHAG00000013288	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WJI7]	0	1
ENSSHAG00000013446	1	G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]	1	0
ENSSHAG00000016162	1	tigger transposable element derived 7 [Source:HGNC Symbol;Acc:HGNC:18331]	1	0
ENSSHAG00000008627	1	aldehyde dehydrogenase 1 family, member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	0	1
ENSSHAG00000011333	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WCV0]	0	1
ENSSHAG00000012396	2	hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]	1	1
ENSSHAG00000012392	1	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta [Source:HGNC Symbol;Acc:HGNC:23567]	0	1
ENSSHAG00000015848	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WTB4]	1	0
ENSSHAG00000017948	1	ankyrin 3, node of Ranvier (ankyrin G) [Source:HGNC Symbol;Acc:HGNC:494]	0	1
ENSSHAG00000015842	1	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	0	1
ENSSHAG00000011356	1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle) [Source:HGNC Symbol;Acc:HGNC:2287]	0	1
ENSSHAG00000013667	1	A kinase (PRKA) anchor protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	1	0
ENSSHAG00000001766	1	SEC14-like 5 (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:29032]	1	0
ENSSHAG00000011350	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WCX1]	0	1
ENSSHAG00000016018	1	sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]	1	0
ENSSHAG00000001347	1	eukaryotic translation initiation factor 3, subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	1	0
ENSSHAG00000017016	1	chromosome 2 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:34350]	0	1
ENSSHAG00000016542	2	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	1	1
ENSSHAG00000016541	1	transcription elongation factor A (SII), 2 [Source:HGNC Symbol;Acc:HGNC:11614]	1	0
ENSSHAG00000017019	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WXA7]	1	0
ENSSHAG00000001349	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VEA8]	1	0
ENSSHAG00000013065	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WIS1]	0	1
ENSSHAG00000016544	1	G protein-coupled receptor 124 [Source:HGNC Symbol;Acc:HGNC:17849]	0	1
ENSSHAG00000008751	1	sphingosine-1-phosphate receptor 2 [Source:HGNC Symbol;Acc:HGNC:3169]	0	1
ENSSHAG00000008753	2	tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]	1	1
ENSSHAG00000008758	1	unc-5 homolog B (C. elegans) [Source:HGNC Symbol;Acc:HGNC:12568]	1	0
ENSSHAG00000016675	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WW35]	1	0
ENSSHAG00000015931	1	Josephin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28953]	0	1
ENSSHAG00000004794	1	lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561]	1	0
ENSSHAG00000016947	1	coiled-coil domain containing 142 [Source:HGNC Symbol;Acc:HGNC:25889]	0	1
ENSSHAG00000010539	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WA46]	1	1
ENSSHAG00000013716	1	leucine zipper, putative tumor suppressor 2 [Source:HGNC Symbol;Acc:HGNC:29381]	0	1
ENSSHAG00000005131	2	adaptor-related protein complex 1, mu 2 subunit [Source:HGNC Symbol;Acc:HGNC:558]	1	1
ENSSHAG00000010537	2	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]	1	1
ENSSHAG00000013728	1	KISS1 receptor [Source:HGNC Symbol;Acc:HGNC:4510]	1	0
ENSSHAG00000015443	1	kinesin family member 13B [Source:HGNC Symbol;Acc:HGNC:14405]	1	0
ENSSHAG00000011289	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WCP8]	1	0
ENSSHAG00000009028	1	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D [Source:HGNC Symbol;Acc:HGNC:10726]	0	1
ENSSHAG00000005691	1	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]	1	0
ENSSHAG00000005267	2		1	1
ENSSHAG00000001014	1	diacylglycerol kinase, eta [Source:HGNC Symbol;Acc:HGNC:2854]	0	1
ENSSHAG00000011131	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WC60]	1	0
ENSSHAG00000009218	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W5H9]	0	1
ENSSHAG00000016833	1	DEAQ box RNA-dependent ATPase 1 [Source:HGNC Symbol;Acc:HGNC:20410]	0	1
ENSSHAG00000016832	1	N(alpha)-acetyltransferase 30, NatC catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19844]	1	0
ENSSHAG00000009213	1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha [Source:HGNC Symbol;Acc:HGNC:8646]	1	0
ENSSHAG00000011138	1	KIAA0895-like [Source:HGNC Symbol;Acc:HGNC:34408]	1	0
ENSSHAG00000018655	1	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	1	0
ENSSHAG00000018897	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X3S1]	0	1
ENSSHAG00000018895	2	apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:HGNC:594]	1	1
ENSSHAG00000004198	2	Cbl proto-oncogene C, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:15961]	1	1
ENSSHAG00000004622	1	transmembrane protease, serine 13 [Source:HGNC Symbol;Acc:HGNC:29808]	0	1
ENSSHAG00000018728	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X376]	1	0
ENSSHAG00000008180	1	dynein, light chain, Tctex-type 1 [Source:HGNC Symbol;Acc:HGNC:11697]	1	0
ENSSHAG00000008181	2	ribonucleoprotein, PTB-binding 1 [Source:HGNC Symbol;Acc:HGNC:30296]	1	1
ENSSHAG00000006918	2	zinc finger protein 385C [Source:HGNC Symbol;Acc:HGNC:33722]	1	1
ENSSHAG00000008186	1	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	1	0
ENSSHAG00000015628	1	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57 [Source:HGNC Symbol;Acc:HGNC:20086]	0	1
ENSSHAG00000013849	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WLH0]	1	0
ENSSHAG00000009102	1	G protein-coupled receptor 176 [Source:HGNC Symbol;Acc:HGNC:32370]	0	1
ENSSHAG00000010714	1	marginal zone B and B1 cell-specific protein [Source:HGNC Symbol;Acc:HGNC:30125]	1	0
ENSSHAG00000014162	1	recombination activating gene 2 [Source:HGNC Symbol;Acc:HGNC:9832]	1	0
ENSSHAG00000013841	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WLF9]	1	0
ENSSHAG00000009109	1	autocrine motility factor receptor, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:463]	1	0
ENSSHAG00000004128	1	hypoxia inducible factor 3, alpha subunit [Source:HGNC Symbol;Acc:HGNC:15825]	0	1
ENSSHAG00000005869	1	asteroid homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:25021]	1	0
ENSSHAG00000005864	1	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046]	1	0
ENSSHAG00000018477	1	5'-nucleotidase, cytosolic II [Source:HGNC Symbol;Acc:HGNC:8022]	0	1
ENSSHAG00000015156	1	claudin 23 [Source:HGNC Symbol;Acc:HGNC:17591]	1	0
ENSSHAG00000005862	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VU88]	1	1
ENSSHAG00000008296	1	apoptosis-inducing factor, mitochondrion-associated, 2 [Source:HGNC Symbol;Acc:HGNC:21411]	1	0
ENSSHAG00000017280	1	CCR4-NOT transcription complex, subunit 10 [Source:HGNC Symbol;Acc:HGNC:23817]	0	1
ENSSHAG00000004448	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPH8]	1	1
ENSSHAG00000018097	1	proteasome (prosome, macropain) subunit, alpha type, 5 [Source:HGNC Symbol;Acc:HGNC:9534]	1	0
ENSSHAG00000015711	1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	1	0
ENSSHAG00000005664	1	interleukin 17C [Source:HGNC Symbol;Acc:HGNC:5983]	1	0
ENSSHAG00000008981	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W4P7]	1	0
ENSSHAG00000004998	1	olfactory receptor, family 1, subfamily M, member 1 [Source:HGNC Symbol;Acc:HGNC:8220]	1	0
ENSSHAG00000005466	2	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C [Source:HGNC Symbol;Acc:HGNC:10725]	1	1
ENSSHAG00000005467	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VSX4]	0	1
ENSSHAG00000018071	1	acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]	1	0
